Survived,Name,Sex,Age,SibSp,Parch,Fare
No,"Sage, Miss. Constance Gladys",female,,8,2,69.55
No,"Pernot, Mr. Rene",male,,0,0,15.05
No,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,31.3875
Yes,"Becker, Master. Richard F",male,1,2,1,39
Yes,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,22.025
No,"Rood, Mr. Hugh Roscoe",male,,0,0,50
Yes,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,15.5
Yes,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0,26.55
No,"Bourke, Mr. John",male,40,1,1,15.5
No,"Turcin, Mr. Stjepan",male,36,0,0,7.8958
Yes,"Pinsky, Mrs. (Rosa)",female,32,0,0,13
No,"Carbines, Mr. William",male,19,0,0,13
Yes,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,7.8542
Yes,"Navratil, Master. Michel M",male,3,1,1,26
Yes,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,27.7208
Yes,"Lurette, Miss. Elise",female,58,0,0,146.5208
No,"Mernagh, Mr. Robert",male,,0,0,7.75
No,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,8.4042
Yes,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,7.75
No,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0,13
No,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,9.5
No,"Sage, Mr. Frederick",male,,8,2,69.55
No,"Johanson, Mr. Jakob Alfred",male,34,0,0,6.4958
No,"Youseff, Mr. Gerious",male,45.5,0,0,7.225
Yes,"Cohen, Mr. Gurshon ""Gus""",male,18,0,0,8.05
No,"Strom, Miss. Telma Matilda",female,2,0,1,10.4625
No,"Backstrom, Mr. Karl Alfred",male,32,1,0,15.85
Yes,"Albimona, Mr. Nassef Cassem",male,26,0,0,18.7875
Yes,"Carr, Miss. Helen ""Ellen""",female,16,0,0,7.75
Yes,"Blank, Mr. Henry",male,40,0,0,31
No,"Ali, Mr. Ahmed",male,24,0,0,7.05
Yes,"Cameron, Miss. Clear Annie",female,35,0,0,21
No,"Perkin, Mr. John Henry",male,22,0,0,7.25
No,"Givard, Mr. Hans Kristensen",male,30,0,0,13
No,"Kiernan, Mr. Philip",male,,1,0,7.75
Yes,"Newell, Miss. Madeleine",female,31,1,0,113.275
Yes,"Honkanen, Miss. Eliina",female,27,0,0,7.925
No,"Jacobsohn, Mr. Sidney Samuel",male,42,1,0,27
Yes,"Bazzani, Miss. Albina",female,32,0,0,76.2917
No,"Harris, Mr. Walter",male,30,0,0,10.5
Yes,"Sunderland, Mr. Victor Francis",male,16,0,0,8.05
No,"Bracken, Mr. James H",male,27,0,0,13
No,"Green, Mr. George Henry",male,51,0,0,8.05
No,"Nenkoff, Mr. Christo",male,,0,0,7.8958
Yes,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,90
No,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,9.35
Yes,"Mellors, Mr. William John",male,19,0,0,10.5
No,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,7.25
No,"Fahlstrom, Mr. Arne Jonas",male,18,0,0,13
No,"Lefebre, Miss. Mathilde",female,,3,1,25.4667
Yes,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,83.475
No,"Larsson, Mr. Bengt Edvin",male,29,0,0,7.775
No,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,13.5
Yes,"Asplund, Miss. Lillian Gertrud",female,5,4,2,31.3875
No,"Leyson, Mr. Robert William Norman",male,24,0,0,10.5
No,"Harknett, Miss. Alice Phoebe",female,,0,0,7.55
No,"Hold, Mr. Stephen",male,44,1,0,26
Yes,"Collyer, Miss. Marjorie ""Lottie""",female,8,0,2,26.25
No,"Pengelly, Mr. Frederick William",male,19,0,0,10.5
No,"Hunt, Mr. George Henry",male,33,0,0,12.275
No,"Zabour, Miss. Thamine",female,,1,0,14.4542
Yes,"Murphy, Miss. Katherine ""Kate""",female,,1,0,15.5
No,"Coleridge, Mr. Reginald Charles",male,29,0,0,10.5
No,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0,7.125
No,"Attalah, Mr. Sleiman",male,30,0,0,7.225
No,"Minahan, Dr. William Edward",male,44,2,0,90
No,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,7.775
Yes,"Hamalainen, Mrs. William (Anna)",female,24,0,2,14.5
Yes,"Beckwith, Mr. Richard Leonard",male,37,1,1,52.5542
No,"Carter, Rev. Ernest Courtenay",male,54,1,0,26
No,"Reed, Mr. James George",male,,0,0,7.25
No,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,10.4625
No,"Stead, Mr. William Thomas",male,62,0,0,26.55
No,"Lobb, Mr. William Arthur",male,30,1,0,16.1
No,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,20.2125
Yes,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,15.2458
Yes,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,79.2
Yes,"Cherry, Miss. Gladys",female,30,0,0,86.5
Yes,"Ward, Miss. Anna",female,35,0,0,512.3292
Yes,"Parrish, Mrs. (Lutie Davis)",female,50,0,1,26
No,"Smith, Mr. Thomas",male,,0,0,7.75
Yes,"Asplund, Master. Edvin Rojj Felix",male,3,4,2,31.3875
No,"Taussig, Mr. Emil",male,52,1,1,79.65
No,"Harrison, Mr. William",male,40,0,0,0
No,"Henry, Miss. Delia",female,,0,0,7.75
No,"Reeves, Mr. David",male,36,0,0,10.5
No,"Panula, Mr. Ernesti Arvid",male,16,4,1,39.6875
Yes,"Persson, Mr. Ernst Ulrik",male,25,1,0,7.775
Yes,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1,153.4625
Yes,"Bissette, Miss. Amelia",female,35,0,0,135.6333
No,"Cairns, Mr. Alexander",male,,0,0,31
Yes,"Tornquist, Mr. William Henry",male,25,0,0,0
Yes,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,1,19.5
No,"Natsch, Mr. Charles H",male,37,0,1,29.7
Yes,"Healy, Miss. Hanora ""Nora""",female,,0,0,7.75
Yes,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,77.9583
No,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,7.75
No,"Parkes, Mr. Francis ""Frank""",male,,0,0,0
No,"Rice, Master. Eric",male,7,4,1,29.125
Yes,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1,20.25
No,"Duane, Mr. Frank",male,65,0,0,7.75
No,"Olsson, Mr. Nils Johan Goransson",male,28,0,0,7.8542
No,"de Pelsmaeker, Mr. Alfons",male,16,0,0,9.5
Yes,"Dorking, Mr. Edward Arthur",male,19,0,0,8.05
No,"Smith, Mr. Richard William",male,,0,0,26
No,"Stankovic, Mr. Ivan",male,33,0,0,8.6625
Yes,"de Mulder, Mr. Theodore",male,30,0,0,9.5
No,"Naidenoff, Mr. Penko",male,22,0,0,7.8958
Yes,"Hosono, Mr. Masabumi",male,42,0,0,13
Yes,"Connolly, Miss. Kate",female,22,0,0,7.75
Yes,"Barber, Miss. Ellen ""Nellie""",female,26,0,0,78.85
Yes,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,91.0792
No,"Levy, Mr. Rene Jacques",male,36,0,0,12.875
No,"Haas, Miss. Aloisia",female,24,0,0,8.85
No,"Mineff, Mr. Ivan",male,24,0,0,7.8958
No,"Lewy, Mr. Ervin G",male,,0,0,27.7208
No,"Hanna, Mr. Mansour",male,23.5,0,0,7.2292
No,"Allison, Miss. Helen Loraine",female,2,1,2,151.55
Yes,"Saalfeld, Mr. Adolphe",male,,0,0,30.5
Yes,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,247.5208
Yes,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,0,0,7.75
Yes,"McCoy, Mr. Bernard",male,,2,0,23.25
No,"Johnson, Mr. William Cahoone Jr",male,19,0,0,0
Yes,"Keane, Miss. Nora A",female,,0,0,12.35
No,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,8.05
Yes,"Allison, Master. Hudson Trevor",male,0.92,1,2,151.55
Yes,"Fleming, Miss. Margaret",female,,0,0,110.8833
Yes,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0,108.9
No,"Abelson, Mr. Samuel",male,30,1,0,24
Yes,"Francatelli, Miss. Laura Mabel",female,30,0,0,56.9292
Yes,"Hays, Miss. Margaret Bechstein",female,24,0,0,83.1583
Yes,"Ryerson, Miss. Emily Borie",female,18,2,2,262.375
No,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,1,26
No,"Hendekovic, Mr. Ignjac",male,28,0,0,7.8958
No,"Hart, Mr. Benjamin",male,43,1,1,26.25
Yes,"Nilsson, Miss. Helmina Josefina",female,26,0,0,7.8542
Yes,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,1,0,26
No,"Moraweck, Dr. Ernest",male,54,0,0,14
Yes,"Wick, Miss. Mary Natalie",female,31,0,2,164.8667
Yes,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1,134.5
No,"Dennis, Mr. Samuel",male,22,0,0,7.25
No,"Danoff, Mr. Yoto",male,27,0,0,7.8958
Yes,"Slayter, Miss. Hilda Mary",female,30,0,0,12.35
Yes,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,1,1,29
No,"Sage, Mr. George John Jr",male,,8,2,69.55
Yes,"Young, Miss. Marie Grice",female,36,0,0,135.6333
No,"Nysveen, Mr. Johan Hansen",male,61,0,0,6.2375
Yes,"Ball, Mrs. (Ada E Hall)",female,36,0,0,13
Yes,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,1,1,20.525
Yes,"Hippach, Miss. Jean Gertrude",female,16,0,1,57.9792
Yes,"McCoy, Miss. Agnes",female,,2,0,23.25
No,"Partner, Mr. Austen",male,45.5,0,0,28.5
No,"Graham, Mr. George Edward",male,38,0,1,153.4625
No,"Vander Planke, Mr. Leo Edmondus",male,16,2,0,18
Yes,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,1,0,133.65
No,"Denkoff, Mr. Mitto",male,,0,0,7.8958
No,"Pears, Mr. Thomas Clinton",male,29,1,0,66.6
Yes,"Burns, Miss. Elizabeth Margaret",female,41,0,0,134.5
Yes,"Dahl, Mr. Karl Edwart",male,45,0,0,8.05
No,"Blackwell, Mr. Stephen Weart",male,45,0,0,35.5
Yes,"Navratil, Master. Edmond Roger",male,2,1,1,26
Yes,"Fortune, Miss. Alice Elizabeth",female,24,3,2,263
No,"Collander, Mr. Erik Gustaf",male,28,0,0,13
No,"Sedgwick, Mr. Charles Frederick Waddington",male,25,0,0,13
No,"Fox, Mr. Stanley Hubert",male,36,0,0,13
Yes,"Brown, Miss. Amelia ""Mildred""",female,24,0,0,13
Yes,"Smith, Miss. Marion Elsie",female,40,0,0,13
Yes,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0,16.1
Yes,"Coutts, Master. William Loch ""William""",male,3,1,1,15.9
No,"Dimic, Mr. Jovan",male,42,0,0,8.6625
No,"Odahl, Mr. Nils Martin",male,23,0,0,9.225
No,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,35
No,"Elias, Mr. Tannous",male,15,1,1,7.2292
No,"Arnold-Franchi, Mr. Josef",male,25,1,0,17.8
No,"Yousif, Mr. Wazli",male,,0,0,7.225
No,"Vanden Steen, Mr. Leo Peter",male,28,0,0,9.5
Yes,"Bowerman, Miss. Elsie Edith",female,22,0,1,55
No,"Funk, Miss. Annie Clemmer",female,38,0,0,13
Yes,"McGovern, Miss. Mary",female,,0,0,7.8792
Yes,"Mockler, Miss. Helen Mary ""Ellie""",female,,0,0,7.8792
No,"Skoog, Mr. Wilhelm",male,40,1,4,27.9
No,"del Carlo, Mr. Sebastiano",male,29,1,0,27.7208
No,"Barbara, Mrs. (Catherine David)",female,45,0,1,14.4542
No,"Asim, Mr. Adola",male,35,0,0,7.05
No,"O'Brien, Mr. Thomas",male,,1,0,15.5
No,"Adahl, Mr. Mauritz Nils Martin",male,30,0,0,7.25
Yes,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,0,75.25
Yes,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,7.2292
Yes,"Jermyn, Miss. Annie",female,,0,0,7.75
Yes,"Aubart, Mme. Leontine Pauline",female,24,0,0,69.3
Yes,"Harder, Mr. George Achilles",male,25,1,0,55.4417
No,"Wiklund, Mr. Jakob Alfred",male,18,1,0,6.4958
No,"Beavan, Mr. William Thomas",male,19,0,0,8.05
No,"Ringhini, Mr. Sante",male,22,0,0,135.6333
No,"Palsson, Miss. Stina Viola",female,3,3,1,21.075
Yes,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0,82.1708
Yes,"Landergren, Miss. Aurora Adelia",female,22,0,0,7.25
No,"Widener, Mr. Harry Elkins",male,27,0,2,211.5
No,"Betros, Mr. Tannous",male,20,0,0,4.0125
No,"Gustafsson, Mr. Karl Gideon",male,19,0,0,7.775
Yes,"Bidois, Miss. Rosalie",female,42,0,0,227.525
Yes,"Nakid, Miss. Maria (""Mary"")",female,1,0,2,15.7417
No,"Tikkanen, Mr. Juho",male,32,0,0,7.925
Yes,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,0,52
No,"Plotcharsky, Mr. Vasil",male,,0,0,7.8958
No,"Davies, Mr. Charles Henry",male,18,0,0,73.5
No,"Goodwin, Master. Sidney Leonard",male,1,5,2,46.9
Yes,"Buss, Miss. Kate",female,36,0,0,13
No,"Sadlier, Mr. Matthew",male,,0,0,7.7292
Yes,"Lehmann, Miss. Bertha",female,17,0,0,12
Yes,"Carter, Mr. William Ernest",male,36,1,2,120
Yes,"Jansson, Mr. Carl Olof",male,21,0,0,7.7958
No,"Gustafsson, Mr. Johan Birger",male,28,2,0,7.925
Yes,"Newell, Miss. Marjorie",female,23,1,0,113.275
Yes,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,2,16.7
No,"Johansson, Mr. Erik",male,22,0,0,7.7958
No,"Olsson, Miss. Elina",female,31,0,0,7.8542
No,"McKane, Mr. Peter David",male,46,0,0,26
No,"Pain, Dr. Alfred",male,23,0,0,10.5
Yes,"Trout, Mrs. William H (Jessie L)",female,28,0,0,12.65
Yes,"Niskanen, Mr. Juha",male,39,0,0,7.925
No,"Adams, Mr. John",male,26,0,0,8.05
No,"Jussila, Miss. Mari Aina",female,21,1,0,9.825
No,"Hakkarainen, Mr. Pekka Pietari",male,28,1,0,15.85
No,"Oreskovic, Miss. Marija",female,20,0,0,8.6625
No,"Gale, Mr. Shadrach",male,34,1,0,21
No,"Widegren, Mr. Carl/Charles Peter",male,51,0,0,7.75
Yes,"Richards, Master. William Rowe",male,3,1,1,18.75
No,"Birkeland, Mr. Hans Martin Monsen",male,21,0,0,7.775
No,"Lefebre, Miss. Ida",female,,3,1,25.4667
No,"Sdycoff, Mr. Todor",male,,0,0,7.8958
No,"Hart, Mr. Henry",male,,0,0,6.8583
Yes,"Minahan, Miss. Daisy E",female,33,1,0,90
No,"Cunningham, Mr. Alfred Fleming",male,,0,0,0
Yes,"Sundman, Mr. Johan Julian",male,44,0,0,7.925
No,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,0,0,8.05
Yes,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34,1,1,32.5
